event_date,region,temperature_c,wind_speed_kmh,precipitation_mm,weather_alert_level,source_system,last_updated_ts
2026-05-05,NORTH,18.5,5.5,8.9,MEDIUM,WEATHER_FEED_1,2026-05-05 00:00:00
2026-05-05,NORTH,10.0,31.1,9.1,LOW,WEATHER_FEED_1,2026-05-05 00:10:00
2026-05-05,NORTH,0.5,54.7,2.8,HIGH,WEATHER_FEED_1,2026-05-05 00:20:00
2026-05-05,NORTH,14.4,33.0,9.3,MEDIUM,WEATHER_FEED_1,2026-05-05 00:30:00
2026-05-05,NORTH,3.6,48.6,11.8,HIGH,WEATHER_FEED_1,2026-05-05 00:40:00
2026-05-05,NORTH,3.1,18.6,0.7,HIGH,WEATHER_FEED_1,2026-05-05 00:50:00
2026-05-05,NORTH,24.2,50.4,7.5,MEDIUM,WEATHER_FEED_1,2026-05-05 01:00:00
2026-05-05,NORTH,13.8,5.4,4.1,HIGH,WEATHER_FEED_1,2026-05-05 01:10:00
2026-05-05,NORTH,17.5,43.9,3.8,MEDIUM,WEATHER_FEED_1,2026-05-05 01:20:00
2026-05-05,NORTH,9.1,18.6,2.2,HIGH,WEATHER_FEED_1,2026-05-05 01:30:00
2026-05-05,NORTH,11.2,47.2,3.6,HIGH,WEATHER_FEED_1,2026-05-05 01:40:00
2026-05-05,NORTH,0.6,27.1,0.7,MEDIUM,WEATHER_FEED_1,2026-05-05 01:50:00
2026-05-05,NORTH,27.0,32.0,1.6,LOW,WEATHER_FEED_1,2026-05-05 02:00:00
2026-05-05,NORTH,4.2,20.2,0.9,MEDIUM,WEATHER_FEED_1,2026-05-05 02:10:00
2026-05-05,NORTH,23.1,7.8,8.7,LOW,WEATHER_FEED_1,2026-05-05 02:20:00
2026-05-05,NORTH,-2.4,22.6,7.3,LOW,WEATHER_FEED_1,2026-05-05 02:30:00
2026-05-05,NORTH,24.0,12.8,9.1,HIGH,WEATHER_FEED_1,2026-05-05 02:40:00
2026-05-05,NORTH,17.5,14.3,2.5,MEDIUM,WEATHER_FEED_1,2026-05-05 02:50:00
2026-05-05,NORTH,5.7,50.3,2.5,LOW,WEATHER_FEED_1,2026-05-05 03:00:00
2026-05-05,NORTH,26.8,9.1,12.0,MEDIUM,WEATHER_FEED_1,2026-05-05 03:10:00
2026-05-05,NORTH,25.3,39.2,8.4,MEDIUM,WEATHER_FEED_1,2026-05-05 03:20:00
2026-05-05,NORTH,25.3,31.7,9.3,MEDIUM,WEATHER_FEED_1,2026-05-05 03:30:00
2026-05-05,NORTH,10.9,36.7,3.7,MEDIUM,WEATHER_FEED_1,2026-05-05 03:40:00
2026-05-05,NORTH,12.4,28.9,1.2,HIGH,WEATHER_FEED_1,2026-05-05 03:50:00
2026-05-05,NORTH,11.0,46.7,11.0,MEDIUM,WEATHER_FEED_1,2026-05-05 04:00:00
2026-05-05,NORTH,6.0,5.4,10.4,HIGH,WEATHER_FEED_1,2026-05-05 04:10:00
2026-05-05,NORTH,0.7,16.6,11.2,HIGH,WEATHER_FEED_1,2026-05-05 04:20:00
2026-05-05,NORTH,19.0,18.3,2.4,LOW,WEATHER_FEED_1,2026-05-05 04:30:00
2026-05-05,NORTH,8.2,46.3,6.0,HIGH,WEATHER_FEED_1,2026-05-05 04:40:00
2026-05-05,NORTH,26.2,20.6,9.2,MEDIUM,WEATHER_FEED_1,2026-05-05 04:50:00
2026-05-05,NORTH,26.9,36.4,5.9,LOW,WEATHER_FEED_1,2026-05-05 05:00:00
2026-05-05,NORTH,19.4,21.3,1.7,HIGH,WEATHER_FEED_1,2026-05-05 05:10:00
2026-05-05,NORTH,11.6,50.7,6.5,HIGH,WEATHER_FEED_1,2026-05-05 05:20:00
2026-05-05,NORTH,26.6,30.2,10.1,LOW,WEATHER_FEED_1,2026-05-05 05:30:00
2026-05-05,NORTH,26.2,37.7,9.2,MEDIUM,WEATHER_FEED_1,2026-05-05 05:40:00
2026-05-05,NORTH,0.4,35.8,0.8,LOW,WEATHER_FEED_1,2026-05-05 05:50:00
2026-05-05,NORTH,-3.7,29.3,4.5,HIGH,WEATHER_FEED_1,2026-05-05 06:00:00
2026-05-05,NORTH,16.4,51.6,11.0,HIGH,WEATHER_FEED_1,2026-05-05 06:10:00
2026-05-05,NORTH,11.6,3.3,6.6,LOW,WEATHER_FEED_1,2026-05-05 06:20:00
2026-05-05,NORTH,-3.5,40.6,6.4,MEDIUM,WEATHER_FEED_1,2026-05-05 06:30:00
2026-05-05,NORTH,-3.5,45.3,8.1,LOW,WEATHER_FEED_1,2026-05-05 06:40:00
2026-05-05,NORTH,-0.6,8.0,1.8,LOW,WEATHER_FEED_1,2026-05-05 06:50:00
2026-05-05,NORTH,15.8,16.1,4.3,MEDIUM,WEATHER_FEED_1,2026-05-05 07:00:00
2026-05-05,NORTH,-1.5,52.9,5.5,LOW,WEATHER_FEED_1,2026-05-05 07:10:00
2026-05-05,NORTH,27.7,14.7,8.2,LOW,WEATHER_FEED_1,2026-05-05 07:20:00
2026-05-05,NORTH,16.9,47.6,9.1,LOW,WEATHER_FEED_1,2026-05-05 07:30:00
2026-05-05,NORTH,9.0,22.6,5.7,HIGH,WEATHER_FEED_1,2026-05-05 07:40:00
2026-05-05,NORTH,-3.7,11.9,6.0,MEDIUM,WEATHER_FEED_1,2026-05-05 07:50:00
2026-05-05,NORTH,16.6,20.2,11.7,LOW,WEATHER_FEED_1,2026-05-05 08:00:00
2026-05-05,NORTH,24.6,50.8,2.8,HIGH,WEATHER_FEED_1,2026-05-05 08:10:00
